"","O3","RH","SR","TOUT","WSR","O3P"
"439",5,52,0.001,10.97,0.7,12
"440",3,54,0.001,10.42,1,10.75
"441",3,56,0.007,10.26,0.6,9.375
"442",4,47,0.131,13.34,1,8.375
"443",9,26,0.297,21.59,4.1,8.5
"444",26,17,0.432,26.79,4.5,10.75
"445",34,16,0.519,28.73,9.3,12.625
"446",37,15,0.557,29.73,7.7,15.125
"447",39,12,0.544,30.45,8.6,19.375
"448",36,12,0.471,30.78,6.3,23.5
"449",36,12,0.356,31.44,3.8,27.625
"450",36,11,0.211,31.44,3.6,31.625
"451",45,16,0.039,28.42,4.9,36.125
"452",44,21,0.002,26.44,12.7,38.375
"453",48,24,0.001,24.39,5.6,40.125
"454",39,27,0.001,23.11,6,40.375
"455",32,30,0.001,22.48,5.4,39.5
"456",27,34,0.001,20.6,5.1,38.375
"457",40,28,0.001,22.18,6,38.875
"458",39,31,0.001,20.72,2.3,39.25
"459",32,36,0.001,18.86,6.5,37.625
"460",29,40,0.001,17.45,2.4,35.75
"461",20,46,0.001,16.3,0.9,32.25
"462",15,46,0.002,15.87,4,29.25
"463",31,46,0.002,15.01,9,29.125
"464",31,44,0.001,14.08,7.4,29.625
"465",26,44,0.007,13.07,7,27.875
"466",22,43,0.055,12.15,9.7,25.75
"467",21,42,0.083,11.21,10.1,24.375
"468",23,40,0.192,10.87,6.7,23.625
"469",25,37,0.344,11.41,7.4,24.25
"470",25,35,0.397,11.41,6.9,25.5
"471",27,32,0.401,12.51,6.1,25
"472",26,33,0.236,12.17,6.2,24.375
"473",23,32,0.193,11.55,6.4,24
"474",20,34,0.082,10.1,7.2,23.75
"475",18,35,0.036,8.84,8.5,23.375
"476",21,37,0.004,7.55,7.3,23.125
"477",20,38,0.002,7.06,6.7,22.5
"478",23,38,0.002,6.64,7.4,22.25
"479",20,37,0.002,6,5.4,21.375
"480",23,37,0.002,5.37,6.2,21
"481",22,38,0.002,5.02,4.8,20.875
"482",21,38,0.002,4.85,5.1,21
"483",22,42,0.002,4.39,5.7,21.5
"484",23,59,0.001,3.56,5.5,21.75
"485",19,72,0.002,2.83,6.2,21.625
"486",16,78,0.002,2.66,8,20.75
"487",16,84,0.003,1.91,5.8,20.25
"488",15,83,0.003,1.56,3.9,19.25
"489",9,82,0.003,1.71,4,17.625
"490",6,82,0.012,2.07,2.9,15.75
"491",7,80,0.042,2.23,3.7,13.875
"492",7,79,0.074,2.49,4.8,11.875
"493",9,76,0.116,3.24,3.7,10.625
"494",10,72,0.183,4.66,1.9,9.875
"495",13,66,0.332,6.5,2.4,9.5
"496",11,63,0.204,7.26,4.1,9
"497",11,61,0.204,7.79,3.9,9.25
"498",11,59,0.131,8.09,2.6,9.875
"499",6,61,0.04,7.9,2.5,9.75
"500",3,69,0.004,7.48,6.4,9.25
"501",3,76,0.003,6.6,9.9,8.5
"502",3,76,0.002,6.1,9.5,7.625
"512",19,68,0.002,4.65,2.9,11
"513",12,68,0.005,4.75,2.1,11.1428571428571
"514",8,69,0.025,4.97,1.9,10.75
"515",8,71,0.061,4.98,3.8,11.25
"516",9,75,0.089,4.95,3.3,11.75
"517",8,79,0.099,5.23,1.7,12
"518",7,79,0.083,5.84,1.8,11.5
"519",6,81,0.061,5.86,3.2,9.625
"520",6,85,0.058,5.77,3.1,8
"521",5,86,0.045,5.84,3.8,7.125
"522",4,88,0.02,5.96,5,6.625
"523",3,89,0.008,6.03,7,6
"524",2,89,0.003,6.24,5.3,5.125
"525",2,89,0.003,6.37,2.5,4.375
"526",3,89,0.003,6.49,2.2,3.875
"527",5,90,0.003,6.45,4.5,3.75
"528",4,90,0.003,6.46,3.3,3.5
"529",5,90,0.003,6.44,2.9,3.5
"530",5,90,0.003,6.49,1.6,3.625
"531",5,90,0.003,6.48,2.8,3.875
"532",12,90,0.003,6.23,2.5,5.125
"533",12,90,0.003,6.17,2.3,6.375
"536",11,91,0.003,6.29,2,8.85714285714286
"537",8,91,0.004,6.39,2,9.28571428571429
"538",7,91,0.016,6.54,2.8,9.57142857142857
"539",6,91,0.03,6.58,3.4,9.71428571428571
"540",7,91,0.047,6.63,4.4,9
"541",10,91,0.059,6.76,4.2,8.71428571428571
"542",15,91,0.072,6.95,4.1,9.14285714285714
"543",16,90,0.087,7.13,3.8,10
"544",16,90,0.087,7.47,2.3,10.625
"545",16,89,0.056,7.73,2.3,11.625
"546",18,88,0.027,7.64,2.9,13
"547",14,89,0.009,7.62,3.2,14
"548",7,89,0.003,7.78,1.6,14
"549",6,90,0.003,8.08,1.5,13.5
"550",10,90,0.003,8.14,4.9,12.875
"551",12,90,0.003,8.01,6,12.375
"552",11,90,0.003,8.03,3.1,11.75
"553",9,90,0.003,8.05,0.7,10.875
"554",7,90,0.003,8.08,2.3,9.5
"555",3,91,0.003,8.08,2.5,8.125
"556",2,90,0.003,8.2,3.9,7.5
"557",3,91,0.003,8.3,3.4,7.125
"558",3,91,0.003,8.32,3.3,6.25
"559",2,91,0.003,8.42,4.1,5
"560",3,91,0.003,8.54,3.5,4
"561",3,91,0.004,8.7,2.9,3.25
"562",3,91,0.013,8.19,4.7,2.75
"563",5,90,0.057,7.94,2.8,3
"564",5,90,0.062,8.5,3.8,3.375
"565",5,88,0.095,9.05,5.1,3.625
"566",4,87,0.068,9.73,2.7,3.75
"567",5,84,0.125,10.63,1.4,4.125
"568",6,79,0.126,11.91,2.8,4.5
"569",5,77,0.076,12.38,1.7,4.75
"570",4,78,0.073,12.49,3.8,4.875
"571",3,79,0.018,12.48,4,4.625
"572",3,82,0.003,12.23,5.3,4.375
"573",2,84,0.002,11.96,5.4,4
"574",2,85,0.002,11.57,2.3,3.75
"575",2,87,0.002,11.32,1.3,3.375
"589",19,47,0.541,20.52,3,7.83333333333333
"590",30,42,0.579,21.68,4.5,11
"591",43,28,0.56,23.24,3.6,15
"592",49,28,0.48,23.87,3.9,20.875
"594",51,35,0.206,22.79,11.4,30.2857142857143
"595",55,36,0.055,21.49,14.3,37.4285714285714
"596",52,38,0.004,19.95,15.7,42.7142857142857
"597",40,38,0.001,19.05,12.9,45.7142857142857
"598",39,42,0.001,18.25,17.2,47
"599",36,51,0.001,16.89,11.8,46
"600",33,60,0.001,15.32,6.7,43.7142857142857
"601",32,66,0.001,14.16,6.8,42.25
"602",37,71,0.001,13.3,4.4,40.5
"603",34,79,0.002,12.73,8.4,37.875
"604",33,80,0.002,12.46,10,35.5
"605",30,81,0.002,12.18,6.7,34.25
"606",27,81,0.002,12.09,2.4,32.75
"607",26,79,0.002,12.11,4.7,31.5
"608",26,78,0.002,12.03,4,30.625
"609",23,84,0.005,11.33,3,29.5
"610",20,84,0.041,11.52,3.6,27.375
"611",22,79,0.088,12.32,4.2,25.875
"612",27,75,0.149,12.86,5.9,25.125
"613",28,75,0.231,13.3,6.4,24.875
"614",29,72,0.281,14.06,4,25.125
"615",28,69,0.328,14.63,5.3,25.375
"616",29,69,0.259,14.75,3.6,25.75
"618",27,74,0.09,13.65,6,27.1428571428571
"619",27,76,0.032,13.09,3.1,27.8571428571429
"620",24,79,0.004,12.57,2.9,27.4285714285714
"621",29,80,0.002,12.48,5.6,27.5714285714286
"622",28,79,0.002,12.68,5.9,27.4285714285714
"623",17,81,0.002,12.48,8.9,25.8571428571429
"624",19,84,0.002,12.4,4.9,24.4285714285714
"625",22,85,0.002,12.5,4.3,24.125
"626",24,86,0.003,12.25,7.1,23.75
"627",19,89,0.003,12.02,8.5,22.75
"628",21,89,0.003,12.07,7.1,22.375
"629",22,90,0.003,12.16,6.4,21.5
"630",19,90,0.003,12.32,2.1,20.375
"631",12,90,0.003,12.29,1.5,19.75
"632",4,90,0.003,12.3,2.8,17.875
"633",3,90,0.006,12.33,3.9,15.5
"634",7,90,0.035,12.56,3.8,13.375
"635",8,89,0.065,12.86,5.5,12
"636",6,88,0.075,13.12,5,10.125
"637",9,86,0.142,13.79,2.6,8.5
"638",10,85,0.079,13.77,4.2,7.375
"639",14,83,0.104,14.09,3.9,7.625
"640",16,80,0.136,14.48,3.8,9.125
"641",16,82,0.105,14.41,4.4,10.75
"642",17,83,0.108,14.33,6,12
"643",13,84,0.034,14.03,4,12.625
"644",8,85,0.004,13.71,1.8,12.875
"645",11,84,0.003,13.8,4.7,13.125
"646",8,85,0.003,13.45,6.6,12.875
"647",10,86,0.002,13.3,8.1,12.375
"648",8,86,0.003,13.22,5.6,11.375
"649",5,86,0.003,13.14,2.5,10
"650",4,88,0.003,12.88,2.2,8.375
"651",3,89,0.003,12.94,3.2,7.125
"652",9,90,0.003,12.66,4.5,7.25
"653",8,90,0.003,12.52,5.7,6.875
"654",10,91,0.003,12.41,3.9,7.125
"655",13,91,0.003,12.37,6.3,7.5
"657",13,90,0.004,11.67,7.7,8.57142857142857
"658",21,89,0.017,10.66,7.1,11
"659",24,88,0.04,10.15,7,14
"660",23,87,0.053,9.98,6.2,16
"661",26,88,0.061,9.23,7.4,18.5714285714286
"662",28,88,0.069,8.81,6.9,21.1428571428571
"663",25,88,0.072,8.32,5.7,22.8571428571429
"664",19,88,0.041,7.95,4.4,22.375
"665",16,86,0.066,8.27,3.8,22.75
"666",10,84,0.045,8.48,4.1,21.375
