"","O3","RH","SR","TOUT","WSR","O3P"
"12173",10,81,0.003,23.05,5.1,16.625
"12174",8,80,0.039,23.31,5.8,14.875
"12175",9,79,0.09,23.61,4.3,13.125
"12176",12,72,0.33,25.5,5.2,12.375
"12177",21,65,0.388,27.34,5,12.75
"12178",35,57,0.68,29.34,6.3,14.625
"12179",41,48,0.762,30.78,9.1,18.25
"12180",49,46,0.766,31.3,11.1,23.125
"12181",53,46,0.755,31.41,14,28.5
"12182",49,47,0.647,31.31,15.9,33.625
"12183",44,46,0.495,31.41,15.9,38
"12184",39,48,0.339,30.94,14.7,41.375
"12185",35,51,0.179,29.87,14.5,43.125
"12186",33,54,0.07,29.19,14.9,42.875
"12187",31,57,0.005,28.29,12.9,41.625
"12188",24,58,0.002,28,10.2,38.5
"12189",20,62,0.002,27.36,9.8,34.375
"12190",26,59,0.002,27.35,11.3,31.5
"12191",27,60,0.002,26.87,9,29.375
"12192",22,68,0.002,25.42,7,27.25
"12193",24,72,0.001,24.33,3.4,25.875
"12194",19,74,0.002,23.83,5.5,24.125
"12195",16,75,0.002,23.45,5.9,22.25
"12196",14,79,0.002,22.62,6,21
"12197",12,81,0.002,22.24,3.9,20
"12198",13,80,0.032,22.59,3.1,18.375
"12199",11,75,0.094,23.66,4.4,16.375
"12200",14,71,0.371,24.82,9,15.375
"12201",18,66,0.545,26.85,8.6,14.625
"12202",26,62,0.545,27.68,7.5,15.5
"12203",42,51,0.772,29.49,12.6,18.75
"12204",37,52,0.781,29.45,15.6,21.625
"12205",36,52,0.63,29.64,15.6,24.625
"12206",35,53,0.484,29.7,14,27.375
"12207",33,54,0.254,29.42,12.7,30.125
"12208",30,57,0.144,28.94,11.7,32.125
"12209",31,57,0.098,28.58,14.2,33.75
"12210",28,58,0.056,28.33,12.2,34
"12211",25,61,0.005,27.68,10.2,31.875
"12212",20,63,0.002,27.24,7.6,29.75
"12213",18,65,0.002,26.64,8.1,27.5
"12214",25,65,0.002,26.48,12.7,26.25
"12215",24,69,0.002,25.52,13.1,25.125
"12216",22,72,0.002,24.82,10.1,24.125
"12217",17,77,0.002,23.99,8,22.375
"12218",15,80,0.002,23.35,5.7,20.75
"12219",16,81,0.002,23.1,5.5,19.625
"12220",12,81,0.003,22.82,5.3,18.625
"12221",12,82,0.003,22.43,5,17.875
"12222",10,82,0.024,22.46,5.6,16
"12223",11,81,0.068,22.89,4.1,14.375
"12224",13,74,0.243,24.54,4.7,13.25
"12225",21,66,0.543,26.54,6.1,13.75
"12226",26,60,0.698,27.94,8.1,15.125
"12227",29,51,0.711,29.66,13.9,16.75
"12228",32,50,0.752,29.75,14.7,19.25
"12229",31,53,0.63,29.69,15.6,21.625
"12230",29,51,0.682,30.48,13.5,24
"12231",32,50,0.543,30.55,17.8,26.625
"12232",33,50,0.36,30.31,18.6,29.125
"12233",31,49,0.193,30.25,14.8,30.375
"12234",27,50,0.079,29.98,12.9,30.5
"12235",29,50,0.005,29.01,18.1,30.5
"12236",30,62,0.003,26.4,17.6,30.25
"12237",25,69,0.002,24.52,11.6,29.5
"12238",25,68,0.002,24.41,9.9,29
"12239",29,62,0.002,25.14,11.2,28.625
"12240",25,63,0.002,24.83,6.4,27.625
"12241",26,66,0.002,24.01,7.4,27
"12242",23,69,0.002,23.41,8.3,26.5
"12243",21,73,0.002,22.76,7.9,25.5
"12244",20,75,0.002,22.28,9.3,24.25
"12245",14,78,0.002,21.86,5.3,22.875
"12246",9,80,0.029,21.43,5.2,20.875
"12247",11,81,0.082,21.58,5.8,18.625
"12248",13,75,0.311,23.32,5.7,17.125
"12249",18,64,0.563,25.94,7,16.125
"12250",26,55,0.692,27.49,12.5,16.5
"12251",29,51,0.773,28.53,14.3,17.5
"12252",32,50,0.711,28.85,15.2,19
"12253",32,50,0.579,29.14,15.6,21.25
"12254",35,49,0.613,29.46,16.8,24.5
"12255",34,47,0.477,29.95,15.2,27.375
"12256",35,47,0.313,29.7,15.4,30.125
"12257",31,47,0.206,29.82,11.9,31.75
"12258",25,50,0.049,28.86,9.7,31.625
"12259",23,53,0.005,28.1,8.8,30.875
"12260",18,54,0.002,27.77,7.7,29.125
"12261",34,53,0.002,27.63,15.7,29.375
"12262",41,53,0.002,27.29,13,30.125
"12263",47,58,0.002,26.12,20.5,31.75
"12264",46,60,0.002,25.42,13,33.125
"12265",41,65,0.002,24.53,9.5,34.375
"12266",41,69,0.002,23.92,9.6,36.375
"12267",31,71,0.002,23.5,6.2,37.375
"12268",31,74,0.002,23.11,6.8,39
"12269",29,74,0.003,23.09,4.6,38.375
"12270",26,74,0.035,23.2,5.2,36.5
"12271",26,72,0.151,23.96,6.9,33.875
"12272",27,62,0.301,26.08,6.4,31.5
"12273",33,57,0.348,26.86,7,30.5
"12274",35,58,0.273,26.58,9.7,29.75
"12275",36,59,0.415,26.97,10.7,30.375
"12276",39,58,0.555,27.7,12.3,31.375
"12277",38,58,0.55,27.92,12.8,32.5
"12278",34,60,0.424,27.42,12.2,33.5
"12279",26,66,0.067,26.02,10.1,33.5
"12280",22,68,0.04,25.51,8.7,32.875
"12281",23,68,0.053,25.3,10.1,31.625
"12282",23,68,0.061,25.44,10,30.125
"12283",22,70,0.005,24.62,10.5,28.375
"12284",24,71,0.002,24.48,9.3,26.5
"12285",20,71,0.002,24.59,8.5,24.25
"12286",20,74,0.002,23.97,7.6,22.5
"12287",22,75,0.002,23.71,6.8,22
"12288",29,75,0.002,23.31,13.1,22.875
"12289",24,76,0.003,23.07,7.9,23
"12290",16,79,0.003,22.21,5.9,22.125
"12291",26,78,0.003,22.16,7.1,22.625
"12292",23,77,0.002,22.17,4.3,22.5
"12293",18,72,0.003,22.32,5.7,22.25
"12294",21,79,0.009,19.85,10.9,22.375
"12295",30,81,0.039,19.56,5.5,23.375
"12296",34,77,0.174,20.66,9.5,24
"12297",38,68,0.44,22.56,10.1,25.75
"12298",36,56,0.551,25.76,9.6,28.25
"12299",43,55,0.765,26.55,15.6,30.375
"12300",42,51,0.781,28.84,12.4,32.75
"12301",46,41,0.785,31.61,8.4,36.25
"12302",45,41,0.643,31.44,17.3,39.25
"12303",48,43,0.51,30.12,20.7,41.5
"12304",48,47,0.37,28.81,21.9,43.25
"12305",47,54,0.161,27.42,20.5,44.375
"12306",41,58,0.01,26.13,14.2,45
"12307",31,77,0.003,22.63,8.5,43.5
"12308",27,84,0.003,20.8,10.3,41.625
"12309",28,80,0.004,21.19,7.2,39.375
"12310",29,81,0.004,21.45,7.6,37.375
"12311",28,77,0.003,20.01,9.7,34.875
"12312",34,82,0.003,18.74,8.5,33.125
"12313",32,80,0.004,19.36,11,31.25
"12314",25,81,0.003,19.92,5.9,29.25
"12315",21,80,0.002,19.86,5.2,28
"12316",13,75,0.002,20.1,8,26.25
"12317",12,76,0.002,19.44,9.3,24.25
"12318",12,74,0.02,19.9,8.2,22.125
"12319",19,63,0.139,22.72,6.2,21
"12320",32,50,0.371,25.69,5.5,20.75
"12321",26,49,0.338,26.11,5.1,20
"12322",32,44,0.621,27.73,5.2,20.875
"12323",43,43,0.513,28.38,5.4,23.625
"12324",56,39,0.713,29.64,6.9,29
"12325",68,40,0.758,30.49,8.9,36
"12326",75,44,0.671,30.56,11.1,43.875
"12327",63,47,0.556,30.41,11,49.375
"12328",54,51,0.203,28.8,11.3,52.125
"12329",42,58,0.023,27.17,7.7,54.125
"12330",37,64,0.043,26.14,9,54.75
"12331",35,67,0.009,25.3,8.3,53.75
"12332",28,70,0.002,24.45,7.3,50.25
"12333",27,74,0.001,23.69,5.3,45.125
"12334",26,73,0.002,23.1,8.8,39
"12335",19,71,0.002,22.9,4.6,33.5
"12336",12,67,0.001,22.18,3.9,28.25
"12337",12,74,0.001,21.43,4,24.5
"12338",18,79,0.001,20.91,6.3,22.125
"12339",13,80,0.001,20.36,3.2,19.375
"12340",12,81,0.001,19.81,3.6,17.375
"12341",10,81,0.002,19.49,3,15.25
"12342",9,81,0.019,19.16,3.2,13.125
"12343",11,77,0.145,20.18,5,12.125
"12344",16,64,0.4,24.55,4.8,12.625
"12345",25,51,0.564,27.62,6.7,14.25
"12346",36,44,0.694,29.66,7.1,16.5
"12347",53,38,0.771,30.84,7.7,21.5
"12348",62,34,0.785,31.79,7.5,27.75
"12349",72,32,0.76,32.61,7.4,35.5
"12350",77,32,0.678,33.46,6.9,44
"12351",80,37,0.558,32.63,12.7,52.625
"12352",67,40,0.403,31.94,15,59
"12353",57,44,0.238,31.05,16.3,63
"12354",52,47,0.07,29.78,18.4,65
"12355",48,51,0.007,28.62,17.3,64.375
"12356",31,53,0.001,27.83,8.8,60.5
"12357",31,57,0.001,26.7,9,55.375
"12358",38,55,0.001,26.73,10.6,50.5
"12359",33,61,0.001,25.49,7,44.625
"12360",27,65,0.001,24.39,8,39.625
"12361",26,70,0.001,23.46,7.4,35.75
"12362",27,72,0.001,22.83,7,32.625
"12363",21,74,0.001,21.95,5.2,29.25
"12364",14,73,0.001,20.91,2.9,27.125
"12365",12,76,0.002,20.16,2.5,24.75
"12366",9,78,0.021,20.28,2.3,21.125
"12367",15,78,0.198,22.71,5.6,18.875
"12368",19,71,0.413,24.56,6.5,17.875
"12369",24,67,0.56,25.78,6.6,17.625
"12370",31,63,0.676,26.63,7.5,18.125
"12371",49,54,0.758,28.84,7.4,21.625
"12372",43,43,0.781,30.42,13.1,25.25
"12373",42,45,0.763,30.84,15.3,29
"12374",43,44,0.684,30.92,18.1,33.25
"12375",44,43,0.558,31.23,17.7,36.875
"12376",42,45,0.41,31.21,18.2,39.75
"12377",41,47,0.24,30.5,20.7,41.875
"12378",41,48,0.072,29.73,20.3,43.125
"12379",40,49,0.007,29.01,19.6,42
"12380",30,51,0.001,28.49,12.5,40.375
"12381",34,57,0.002,27.39,17.6,39.375
"12382",35,63,0.002,26.57,17.4,38.375
"12384",30,68,0.002,25.52,12.3,35.8571428571429
"12385",29,69,0.002,25.27,10.7,34.1428571428571
"12386",22,75,0.002,24.31,8.3,31.4285714285714
"12387",20,78,0.002,23.69,7.6,28.5714285714286
"12388",21,77,0.002,23.45,5.8,27.2857142857143
"12389",21,74,0.003,23.66,4.9,25.4285714285714
"12390",20,74,0.023,23.67,5.3,23.2857142857143
"12391",17,72,0.079,24.37,4.4,22.5
"12392",21,68,0.172,25.52,4.2,21.375
"12393",20,68,0.224,25.96,4.9,20.25
"12394",22,64,0.354,27.08,5.4,20.25
"12395",23,55,0.634,29.41,7.3,20.625
"12396",27,57,0.448,28.94,9.7,21.375
"12397",30,55,0.642,29.38,11.8,22.5
"12398",29,58,0.334,28.84,11.2,23.625
"12399",29,56,0.338,29.38,9.4,25.125
"12400",32,55,0.316,29.7,10.6,26.5
"12401",32,54,0.23,30,11,28
"12402",30,57,0.076,29.05,10.8,29
"12403",25,62,0.007,27.85,9.5,29.25
"12404",20,66,0.002,27.28,8.2,28.375
"12405",23,67,0.002,26.74,8.5,27.5
"12406",26,67,0.002,26.55,12.1,27.125
"12407",25,71,0.002,25.88,11.9,26.625
"12408",22,74,0.003,25.37,10.5,25.375
"12409",20,75,0.002,25.01,5.3,23.875
"12410",17,75,0.002,24.96,5.1,22.25
"12411",19,76,0.002,24.64,5,21.5
"12412",17,78,0.003,24.28,5.6,21.125
"12413",15,78,0.003,24.15,5.2,20.125
"12414",16,79,0.016,23.92,5,18.875
"12415",14,79,0.053,23.95,4.9,17.5
"12416",14,75,0.197,25.13,5.5,16.5
"12417",15,69,0.35,26.7,6.7,15.875
"12418",18,61,0.742,28.96,8,16
"12419",25,58,0.785,29.44,11.7,16.75
"12420",29,58,0.642,29.32,16.4,18.25
"12421",30,57,0.363,29.45,16.5,20.125
"12422",31,59,0.224,28.6,17.8,22
"12423",30,58,0.329,28.9,16.6,24
"12424",29,57,0.368,29.63,15.1,25.875
"12425",28,58,0.195,28.86,16.2,27.5
"12426",25,56,0.063,28.78,12.5,28.375
"12427",17,60,0.008,27.97,10.5,27.375
"12428",20,65,0.002,26.78,10.6,26.25
"12429",17,68,0.002,26.15,8.4,24.625
"12430",15,71,0.002,25.54,7.2,22.625
"12431",21,71,0.002,25.63,6.1,21.5
"12432",19,73,0.002,25.37,4.6,20.25
"12433",18,74,0.002,24.98,6.7,19
"12434",19,73,0.003,24.61,6.4,18.25
"12435",19,76,0.002,23.86,6.9,18.5
"12436",18,79,0.002,23.31,6.9,18.25
"12437",14,80,0.002,23.12,6.2,17.875
"12438",16,80,0.028,23.19,7.2,18
"12439",15,78,0.14,23.76,9.1,17.25
"12440",17,70,0.365,25.83,8.7,17
"12441",22,62,0.514,27.63,10.4,17.5
"12442",27,58,0.732,28.67,12.4,18.5
"12443",29,56,0.71,28.99,15.5,19.75
"12444",29,57,0.617,29,14.4,21.125
"12445",27,57,0.501,29.65,12.2,22.75
"12446",29,56,0.609,30.44,12.9,24.375
"12447",31,55,0.457,30.06,15.2,26.375
"12448",28,57,0.29,29.66,14,27.75
"12449",26,61,0.192,28.78,13.7,28.25
"12450",22,67,0.057,27.42,9.3,27.625
"12451",20,69,0.01,26.82,8,26.5
"12452",16,73,0.002,26.09,7.4,24.875
"12453",16,73,0.002,26.04,6.6,23.5
"12454",21,78,0.002,25.09,4.7,22.5
"12455",22,82,0.003,23.85,4.1,21.375
"12456",23,77,0.005,23.63,7.4,20.75
"12457",24,74,0.004,23.7,6.9,20.5
"12458",29,80,0.002,22.45,11.6,21.375
"12459",28,79,0.002,21.42,7,22.375
"12460",22,79,0.002,21.14,5.4,23.125
"12461",13,78,0.003,20.71,7.7,22.75
"12462",14,80,0.008,20.13,9,21.875
"12463",16,84,0.097,20.05,4,21.125
"12464",23,78,0.389,22.74,7,21.125
"12465",25,68,0.454,24.99,6.1,21.25
"12466",31,68,0.614,25.39,8.4,21.5
"12467",26,60,0.712,26.94,8.8,21.25
"12468",34,53,0.486,27.85,11.3,22.75
"12469",20,53,0.427,28.53,8.8,23.625
"12470",27,50,0.738,29.71,9.3,25.25
"12471",26,50,0.426,29.78,8.1,26.5
"12472",34,52,0.292,29.05,11,27.875
"12473",33,53,0.26,29.1,11.2,28.875
"12474",29,55,0.087,28.56,9.3,28.625
"12475",30,59,0.008,27.2,9.9,29.125
"12476",29,62,0.001,26.31,5.7,28.5
"12477",20,65,0.001,25.4,6.9,28.5
"12478",19,67,0.002,24.9,6.8,27.5
"12479",19,69,0.001,24.3,3.7,26.625
"12480",22,68,0.002,24.63,7.4,25.125
"12481",17,73,0.002,23.5,7.6,23.125
"12482",18,71,0.002,23.61,6.2,21.75
"12483",13,79,0.002,22.94,6.5,19.625
"12484",15,83,0.002,22,5.5,17.875
"12485",13,84,0.003,21.52,3.5,17
"12486",10,82,0.027,21.86,5.2,15.875
"12487",11,78,0.148,22.99,5.1,14.875
"12488",15,69,0.393,25.39,6.8,14
"12489",21,63,0.507,26.94,7.8,14.5
"12490",39,54,0.669,28.6,7.1,17.125
"12491",55,50,0.778,30.11,7.9,22.375
"12492",59,45,0.595,31.17,6.5,27.875
"12493",50,42,0.35,30.79,8.7,32.5
"12494",53,37,0.699,32.28,9,37.875
"12495",47,35,0.558,32.96,8.1,42.375
"12496",47,36,0.34,32.52,10.1,46.375
"12497",40,38,0.194,31.62,10.8,48.75
"12498",39,41,0.039,30.15,12.2,48.75
"12499",36,46,0.007,29.29,5.9,46.375
"12500",38,54,0.002,27.28,13.1,43.75
"12501",37,61,0.002,24.96,13.5,42.125
"12502",31,62,0.002,24.27,7.8,39.375
"12503",32,63,0.001,24.16,7.2,37.5
"12504",27,65,0.001,23.56,3.4,35
"12505",19,71,0.001,22.62,4,32.375
"12506",12,75,0.001,22.07,3,29
"12507",11,77,0.001,21.57,2.2,25.875
"12508",10,76,0.001,21.48,2.5,22.375
"12509",9,75,0.002,21.39,2.6,18.875
"12510",9,74,0.021,21.28,3.4,16.125
"12511",11,70,0.147,22.57,3.7,13.5
"12512",17,57,0.391,26.44,6.2,12.25
"12513",30,53,0.549,27.7,6.7,13.625
"12514",45,49,0.671,28.95,6.8,17.75
"12515",65,44,0.746,30.47,6.8,24.5
"12516",67,42,0.75,31.58,8,31.625
"12517",65,39,0.535,31.91,9.2,38.625
"12518",58,38,0.7,32.51,11.5,44.75
"12519",50,39,0.561,32.3,12.7,49.625
"12520",47,40,0.405,31.84,14.6,53.375
"12521",46,42,0.178,30.66,15.7,55.375
"12522",45,43,0.071,30.04,15.7,55.375
"12523",36,46,0.006,29.14,10.9,51.75
"12524",26,51,0.001,28.24,7.2,46.625
"12525",26,54,0.001,27.53,7.2,41.75
"12526",21,57,0.001,26.73,7.6,37.125
"12527",25,58,0.002,26.19,7.8,34
"12528",22,63,0.002,25.46,6.5,30.875
"12529",27,65,0.002,25.44,4,28.5
"12530",22,68,0.002,25.21,4.7,25.625
"12531",18,72,0.001,23.91,3.7,23.375
"12532",19,74,0.001,23.45,4.8,22.5
"12533",23,76,0.002,22.83,2.3,22.125
"12535",14,70,0.147,23.68,5.1,20.7142857142857
"12536",15,64,0.388,26.93,5.3,19.7142857142857
"12537",25,61,0.536,28.29,6.5,19.4285714285714
"12538",35,57,0.664,29.52,7,21.2857142857143
"12539",54,53,0.721,30.99,7.1,26.4285714285714
"12540",62,50,0.54,31.51,8,32.5714285714286
"12541",51,41,0.76,32.81,11.6,36.5714285714286
"12542",47,40,0.695,32.65,14.1,37.875
"12543",44,42,0.558,32.6,14.8,41.625
"12544",38,44,0.415,32.59,14.7,44.5
"12545",37,43,0.242,32.45,11.6,46
"12546",39,42,0.075,31.63,11.2,46.5
"12547",36,45,0.009,30.33,10.5,44.25
"12548",33,49,0.001,29.49,11.5,40.625
"12549",30,53,0.001,29.01,9.3,38
"12550",33,53,0.001,28,6.2,36.25
"12551",34,56,0.001,27.27,5,35
"12552",26,59,0.001,26.44,4,33.5
"12553",23,65,0.001,25.52,4.2,31.75
"12554",15,76,0.002,24.38,6,28.75
"12555",15,80,0.002,23.81,6.7,26.125
"12556",16,80,0.003,23.71,6.3,24
"12557",19,79,0.003,23.8,4.1,22.625
"12558",13,77,0.025,24.02,7.3,20.125
"12559",13,75,0.067,24.34,5.5,17.5
"12560",12,74,0.167,24.28,7,15.75
"12561",18,70,0.429,26.05,6.4,15.125
"12562",29,64,0.575,27.64,7,16.875
"12563",36,57,0.64,29.26,6.7,19.5
"12564",43,50,0.578,30.63,8.7,22.875
"12565",40,45,0.77,32.6,8,25.5
"12566",45,45,0.669,32.7,10,29.5
"12567",47,44,0.544,32.97,10.8,33.75
"12568",46,43,0.391,33.51,9.6,38
"12569",40,46,0.231,32.93,12.3,40.75
"12570",41,51,0.079,31.29,15.2,42.25
"12571",37,51,0.008,30.42,13.7,42.375
"12572",25,54,0.001,29.59,8.5,40.125
"12573",22,56,0.001,28.82,7.1,37.875
"12574",25,56,0.001,28.33,7.8,35.375
"12575",23,59,0.001,27.32,9.5,32.375
"12576",23,60,0.001,26.83,9.1,29.5
"12577",24,58,0.001,26.26,4.8,27.5
"12578",24,60,0.001,25.47,2.4,25.375
"12579",20,63,0.001,24.57,3.1,23.25
"12580",18,63,0.001,24.33,5.7,22.375
"12581",16,66,0.002,23.76,2.3,21.625
"12582",11,66,0.021,23.5,2.2,19.875
"12583",11,63,0.151,24.65,3.8,18.375
"12584",20,54,0.394,29.22,4.6,18
"12585",38,47,0.544,31.23,5.3,19.75
"12586",54,45,0.671,32.94,6.5,23.5
"12587",85,44,0.74,33.89,7,31.625
"12588",62,35,0.781,35.26,12.1,37.125
"12589",51,34,0.766,35.8,12.2,41.5
"12590",42,31,0.694,36.38,12.9,45.375
"12591",43,29,0.568,36.58,13.2,49.375
"12592",48,24,0.419,36.71,14.4,52.875
"12593",47,28,0.244,35.93,16.5,54
"12594",45,29,0.081,35,17.3,52.875
"12595",33,35,0.007,33.74,10.4,46.375
"12596",27,41,0.001,32.22,8.6,42
"12597",26,43,0.001,31.48,7.6,38.875
"12598",33,43,0.001,31.19,6.6,37.75
"12599",32,49,0.002,30.4,11.4,36.375
"12600",24,57,0.002,28.26,10.2,33.375
"12601",24,66,0.001,27.32,8.3,30.5
"12602",26,67,0.001,26.79,6.1,28.125
"12603",25,71,0.001,26.11,5.9,27.125
"12604",20,77,0.001,25.13,4.8,26.25
"12605",21,79,0.002,24.61,3,25.625
"12606",18,80,0.024,24.65,3.4,23.75
"12607",18,78,0.103,25.11,5.8,22
"12608",23,73,0.368,26.53,6.5,21.875
"12609",25,68,0.497,27.79,7,22
"12610",31,62,0.666,29.12,7.6,22.625
"12611",34,56,0.765,30.71,7.8,23.75
"12612",55,53,0.499,31.62,7.1,28.125
"12613",41,46,0.711,33.26,9.5,30.625
"12614",38,43,0.622,33.47,14,33.125
"12615",38,49,0.558,32.44,16.6,35.625
"12616",34,47,0.42,31.13,11.5,37
"12617",32,50,0.272,31.5,11.5,37.875
"12618",29,51,0.085,31.2,11,37.625
"12619",25,55,0.008,29.84,6.8,36.5
"12620",20,58,0.001,29.08,9.5,32.125
"12621",20,61,0.001,28.03,9.4,29.5
"12622",19,64,0.002,27.31,11.3,27.125
"12623",20,61,0.001,27.26,9.6,24.875
"12624",20,61,0.001,26.92,5.3,23.125
"12625",17,62,0.001,26.34,3.3,21.25
"12626",17,63,0.001,25.94,6.8,19.75
"12627",19,71,0.002,24.9,10.6,19
"12628",18,76,0.002,24.1,10.5,18.75
"12629",16,78,0.003,23.93,6.1,18.25
"12630",15,78,0.024,23.92,3.4,17.75
"12631",20,76,0.153,25.33,4.3,17.75
"12632",17,70,0.391,27.42,6.3,17.375
"12633",30,66,0.53,28.53,6.7,19
"12634",31,62,0.664,29.63,7.4,20.75
"12635",40,56,0.734,31.33,7.3,23.375
"12637",47,49,0.724,34.21,6.6,28.5714285714286
"12638",35,46,0.664,35.02,9.6,31.4285714285714
"12639",34,46,0.553,35.21,11.8,33.4285714285714
"12640",41,48,0.41,34.59,15.7,36.8571428571429
"12641",43,50,0.229,33.96,13.8,38.7142857142857
"12642",51,53,0.078,32.61,17.6,41.5714285714286
"12643",42,55,0.009,31.95,12.8,41.8571428571429
"12644",43,57,0.001,31.31,10.3,42
"12645",40,60,0.001,30.57,9,41.125
"12646",46,60,0.001,30.2,9.6,42.5
"12647",45,59,0.001,30.03,8.3,43.875
"12648",46,61,0.001,29.38,9.2,44.5
"12649",45,64,0.001,28.15,7.1,44.75
"12650",40,72,0.001,26.66,7.8,43.375
"12651",44,74,0.001,26.06,3,43.625
"12652",42,81,0.001,25.45,5,43.5
"12653",24,83,0.003,25.42,4.9,41.5
"12654",30,80,0.021,25.86,5.1,39.5
"12655",37,73,0.184,27.15,5.6,38.5
"12656",46,68,0.368,28.57,6.7,38.5
"12657",52,65,0.527,29.48,6.7,39.375
"12658",70,61,0.648,30.69,6.5,43.125
"12659",106,56,0.728,32.12,7.3,50.875
"12660",142,50,0.742,34.1,6.7,63.375
"12661",136,46,0.718,35.93,8.3,77.375
"12662",94,45,0.665,36.33,12.9,85.375
"12663",74,39,0.556,36.71,13.9,90
"12664",71,38,0.407,36.98,14,93.125
"12665",71,38,0.245,36.1,20.8,95.5
"12666",63,41,0.084,35.08,20.1,94.625
"12667",56,46,0.009,34,12.4,88.375
"12668",51,52,0.001,32.64,11,77
"12669",61,52,0.001,31.94,8.9,67.625
"12670",57,50,0.001,31.38,8.8,63
"12671",56,52,0.001,30.53,8,60.75
"12672",56,57,0.001,29.31,6.2,58.875
"12673",51,59,0.001,27.89,3.2,56.375
"12674",40,56,0.001,26.52,3,53.5
"12675",35,58,0.001,25.41,1.9,50.875
"12676",32,68,0.001,24.98,3,48.5
"12677",29,81,0.003,25.58,5.5,44.5
"12678",20,78,0.022,26.11,5.3,39.875
"12679",22,73,0.156,27.31,5.7,35.625
"12680",32,64,0.383,29.67,6.1,32.625
"12681",55,57,0.539,31.59,6.8,33.125
"12682",87,48,0.664,33.88,6,39
"12683",121,45,0.739,35.35,7.2,49.75
"12684",155,38,0.75,37.65,6,65.125
"12685",61,16,0.762,40.48,12.3,69.125
"12686",61,19,0.683,41.21,12.4,74.25
"12687",56,20,0.559,40.78,16.4,78.5
"12688",53,22,0.415,40.21,21.1,81.125
"12689",45,17,0.106,39.63,17.4,79.875
"12690",33,21,0.02,38.31,10.1,73.125
"12691",28,25,0.016,36.75,9.2,61.5
"12692",27,26,0.001,35.04,10.1,45.5
"12693",32,30,0.001,33.19,10.3,41.875
"12694",28,33,0.001,32.08,10.7,37.75
"12695",26,37,0.001,30.48,7.5,34
"12696",24,39,0.001,29.57,4,30.375
"12697",24,51,0.001,28.69,3.1,27.75
"12698",20,45,0,26.5,2.7,26.125
"12699",28,69,0.001,26.11,3.8,26.125
"12700",22,75,0.001,25.86,3.8,25.5
"12701",16,72,0.002,25.69,4.9,23.5
"12702",11,71,0.022,25.88,5,21.375
"12703",17,70,0.126,27.21,4.1,20.25
"12704",21,63,0.233,29.35,4.3,19.875
"12705",30,48,0.472,31.89,6.2,20.625
"12706",52,41,0.669,34.83,7,24.625
"12707",102,34,0.744,37.13,8,33.875
"12708",149,24,0.741,39.96,6.4,49.75
"12709",138,20,0.691,41.92,9.3,65
"12710",100,23,0.653,41.51,13.7,76.125
"12711",93,22,0.395,41.01,13.8,85.625
"12712",94,23,0.419,40.36,12.5,94.75
"12713",80,23,0.247,40.12,11.4,101
"12714",61,24,0.091,38.91,7.3,102.125
"12715",42,28,0.01,36.62,7.1,94.625
"12716",43,32,0,34.52,5.1,81.375
"12717",30,35,0.001,32.87,3.6,67.875
"12718",19,38,0.001,31.49,2.5,57.75
"12719",13,36,0.001,30.2,3.1,47.75
"12720",12,36,0.001,29.08,2.2,37.5
"12721",14,36,0.001,28.36,3.2,29.25
"12722",14,42,0.001,27.2,2.5,23.375
"12723",14,48,0.001,26.81,2.2,19.875
"12724",23,65,0.001,27.45,5.7,17.375
"12725",23,69,0.002,27.25,5.2,16.5
"12726",16,68,0.025,27.63,5.9,16.125
"12727",15,66,0.144,28.59,5.8,16.375
"12728",24,60,0.321,30.61,6.4,17.875
"12729",36,54,0.454,32.13,7.1,20.625
"12730",62,49,0.362,33.25,6.5,26.625
"12731",76,38,0.706,35.29,7.5,34.375
"12732",72,29,0.657,37.17,7.6,40.5
"12733",88,27,0.738,38.28,7.8,48.625
"12734",129,30,0.627,39.65,7.2,62.75
"12735",118,33,0.497,38.91,14.2,75.625
"12736",99,34,0.186,37.48,13,85
"12737",76,33,0.128,36.88,14.4,90
"12738",46,32,0.042,36.21,11,88
"12739",42,36,0.007,35.11,8.4,83.75
"12740",37,39,0.001,33.87,7.2,79.375
"12741",31,40,0.001,33.12,7.7,72.25
"12742",27,42,0.001,31.95,9.3,59.5
"12743",27,46,0.001,30.92,11.6,48.125
"12744",32,45,0.001,30.42,11.8,39.75
"12745",33,46,0.001,29.77,10,34.375
"12746",33,51,0.001,28.82,5,32.75
"12747",31,61,0.001,27.49,2.9,31.375
"12748",24,65,0.001,26.92,3,29.75
"12749",23,68,0.002,26.53,4.6,28.75
"12750",18,72,0.025,26.16,6.8,27.625
"12751",16,72,0.155,26.87,5.9,26.25
"12752",22,65,0.34,29.05,7,25
"12753",30,60,0.505,30.26,8.1,24.625
"12754",58,54,0.638,31.84,8.1,27.75
"12755",76,47,0.714,33.73,8.1,33.375
"12756",86,39,0.72,35.32,7.9,41.125
"12757",93,37,0.701,36.57,8.5,49.875
"12758",119,37,0.626,37.45,6.8,62.5
"12759",111,39,0.501,38.28,9.3,74.375
"12760",89,37,0.379,37.11,15.1,82.75
"12761",60,34,0.18,36.45,18.1,86.5
"12762",44,32,0.108,36.59,14.4,84.75
"12763",37,35,0.014,35.53,10.2,79.875
"12764",33,38,0.001,34.51,9.6,73.25
"12765",27,39,0.001,33.83,8.1,65
"12766",40,36,0.001,33.8,8.6,55.125
