,O3
5090,-7.198325488249694
4346,-7.769974241812392
7745,-15.133668273452443
5033,-2.1979626374893257
1607,-15.614044229997276
5087,-17.44328731906974
2831,-0.06726320262710317
8648,-1.469827903634453
3368,-9.615369748502886
8697,-8.084953029645774
6552,1.3732042355489256
4196,-5.403509253549103
9712,0.6913357908260735
915,-14.87894094981074
9825,0.8583634212147473
6909,-14.085735176980009
190,-12.789675055847184
2899,-1.8509571310413122
2400,-6.526302947783805
10182,0.2176557553353149
9510,15.604316480715184
3343,-3.946110962498466
8973,12.142288274587699
7750,-13.718181739901425
5689,0.4289889303976935
4978,0.4307281218070642
8267,-3.2219407639077673
3842,-2.128091694270651
1297,6.149580875930141
3753,-6.995418845900062
2411,-6.888045565921928
3553,12.286039909100552
2768,-2.554042592479547
1359,1.2838601984454243
8257,0.5899831199022572
2702,25.098783680353264
2841,5.315302065984838
8462,-0.05597619210500682
7469,-1.759780682864303
5136,0.567693019564885
1095,4.151395043977729
9721,-5.707145003346184
598,-5.944201543685111
8154,-5.964479502173575
6925,-10.436035456573237
799,-13.934154099637212
4568,-8.665136082641013
6875,-8.464837791000392
1666,4.963866442709715
8883,2.1168940426203307
4672,0.682312234002822
834,9.34089136008997
6332,5.0182877129904995
5485,2.261914252139661
6600,-10.4101448579395
5496,-6.737512695349281
7507,-21.13749174728396
6785,-5.95904987872639
5547,-2.7071271744865015
1145,-22.661860723004068
5783,8.250577002846072
5722,15.853074566988262
4230,-10.181947818268796
1577,3.4567271863286777
1312,-12.855140983231799
2167,5.655460898899875
5814,-7.940537734593889
4298,-7.752174448524826
5692,11.530882578088196
4730,-6.912694421909933
8503,-14.705710307039013
265,-6.995958088487143
6686,-6.284232802445629
7027,-13.811090230188327
9176,-6.831105772252656
9659,2.979697377030348
2241,2.841815201204483
3056,17.891038304060146
6899,-6.0593763970783385
2670,-7.772034998268126
8952,9.553615664575702
5973,-0.3261844852651876
3681,-1.9452695446534989
8416,5.760473723492325
7790,3.8544558571923346
3034,33.828052555580186
9333,6.7184519306164106
7493,-7.204432032451578
5235,5.4135703059742895
2055,-11.779392980579772
7059,-2.5029357032527315
3273,-4.469919059295208
2560,3.7418091833741727
1741,4.355119150554643
451,8.688370381320127
125,-8.054826076152196
3710,1.5129143240436207
247,-2.195173731142873
2630,17.530781792890522
5838,-6.370951433892699
4659,5.262447560278602
2521,-1.1152802797233363
2092,-13.63830828648868
2359,-6.04631217009144
7612,-7.585874762823849
9033,0.5663051416559739
841,-7.73026168268764
2946,-0.03775805618325023
2280,-4.0679409191098586
2004,-3.781434420307235
3373,-0.9437260741897973
2604,-1.756094139634186
580,-1.0173398723415659
10195,1.826799257556715
8380,-1.6764243930436038
2917,8.587616108283939
1098,29.251161726464588
6674,-4.631386194980919
2397,-0.5717620873211473
4404,-12.770565362159672
7565,-0.8184523219367037
6469,-1.5351697205679358
10075,4.933308416522365
6814,5.132497325218694
3743,-10.511200282983523
520,-4.912014247238062
3889,7.6465232742144025
1941,21.12650789649068
521,-0.4431737850354267
9596,2.6123547051690963
1829,-8.18334987641849
5741,9.40637402860527
5512,2.082492871883801
5917,-5.435949137067368
242,-8.308212815846858
572,-8.211394114221818
920,-3.9058351669339544
1308,8.732955265244314
5276,-4.507278400370993
2141,4.7466677578239995
201,19.730028433958935
5045,1.4156853238800835
6316,17.337351851399987
6694,4.106249015665625
8369,3.262803048564635
8180,1.939723042285678
221,1.958947605368209
8687,-1.1356550114458628
7181,2.9681048571157334
1467,12.806357970782685
4968,-8.353521903180692
1804,-13.598535113643024
42,6.904575270052362
6475,-3.1415080250412615
189,-12.049884770545745
6183,6.910612495050557
7805,0.1562792857613573
1817,17.17776843536079
9208,-1.6819389961625149
1985,3.912372815425371
10077,6.074836103864456
9330,4.28131760184867
692,-3.7345187972404403
2263,-7.991512639167084
4534,-1.091593831354956
3028,-9.007803374752015
7759,-4.567736932290032
6823,-7.2766686819513495
3032,-0.46808713476524133
5826,0.42836729268144325
9700,-4.85947272545387
8094,-2.5909278512396696
6391,7.727984406352135
1928,7.964972854740537
6868,1.7213264891618536
454,4.783846328969972
1519,-2.2668023878232617
7241,-4.987711813383399
5093,-5.1563698304144765
9402,7.405972506435305
8703,-3.223488499746068
8282,-0.9540125643678863
3188,5.325142758900924
3613,-8.646498887303792
3752,-6.596581653541804
1644,3.8916529281763843
